status id,user name,tweet text,tweet date,# of favorites,# of comments,# of retweets
1219627925781274629,@CapMetroATX,"Welcome back 
@UTAustin
 students! UT Shuttle service returns today. Buses operate approx. 7a-11p M-F & 3p-10p on Sun. Shuttles do NOT operate on Sat. For more information visit: http://CapMetro.org/ut-shuttles #hookem #trytransit",1/21/20,5,1,3
1218265261188505605,@annhuffstevens,"UT’s own Debra Umberson has received the Reeder Award from the American Sociological Association for her lifetime contributions to medical sociology, the highest honor awarded by the ASA medical sociology section. Please join me in congratulating her! #HookEm",1/17/20,14,0,3
1219035570959192064,"@HaydenConner
","“Nothing goes over my head! My reflexes are too fast, I would catch it.”
- Drax the Destroyer
🤘#HookEm",1/19/20,729,9,76
1219652303088750597,@UTSOA,Happy first day of classes! The Goldsmith magnolias showed up to welcome everyone back today as well 🌸 #TexasArchitecture #hookem,1/21/20,10,1,0
1219055950847410176,@landonjackson40,Had a great time in Austin! #hookem,1/19/20,1500,48,129
1219658442836672513,@JoshR_Blackbur,Does anyone else see Texas going into Death Valley next season and leaving with a W? #HookEm #HornsUp 🤘🤘,1/21/20,5,2,1
1219617825779855361,"@ladymavsoftball
",Happy Birthday to this freshman dynamic duo Mckenna and Reece!! Hope it’s a great day! #HookEm,1/21/20,13,0,1
1219429793546080256,@Paul_Longhorn,"Wasn't near as fun as the actual movie....

#HookEm",1/20/20,112,8,20
1219681062747435013,@TexasTFXC,"Win at FasTrak Collegiate Opener
✅ Win at Leonard Hilton Memorial Invitational

@WarrenMillerPV
 is 2-for-2 in the Pole Vault, with ✌️ PR's, already this season. 

#FamilyOnAMission | #HookEm 🤘",1/21/20,9,0,0
1219630979314307075,@TexasTakeover05,"Sam ranked as a Top 3 QB in the country for 2020.

#HookEm",1/21/20,91,3,18
1219351861083459591,@ivymhoang,Dreams really do come true! Cannot wait to attend my dream school in the fall! 🤘 🧡 #ut24 #hookem,1/20/20,38,0,4
1219423325853835265,@HermansHorns,Fire Shaka now. #FireShaka #Hookem,1/20/20,3,0,1
1216960605430484992,@McConaughey,"Congratulations 
@LSU
 on being the National Champions. Excellence every game, all season. That’s what it takes. See you in 243 days in Baton Rouge. #hookem, mcConaughey",1/13/20,7200,79,539
1219190501406117888,@PraiseAmaechi,Got accepted to UT!!!😁#ut24 #HookEm,1/20/20,59,3,4
1219672660340301824,@MikeRoach247,Texas moves up for four-star DL Marcus Burris following visit. #HookEm https://247sports.com/college/texas/Article/Texas-Longhorns-Football-Recruiting-Texas-moves-up-for-Marcus-Burris-following-visit-142506775/,1/21/20,36,0,4
1219466115400785925,@WWMcClyde,"When TJ Ford all but damns the program, that's plenty good enough for me. It's time for Shaka to go. #HookEm",1/20/20,24,0,1
1219640869453737985,@MikeRoach247,Four-star RB LJ Johnson recaps Texas visit. #HookEm https://247sports.com/college/texas/Article/Texas-Longhorns-Football-Recruiting-Four-star-2021-Cy-Fair-RB-LJ-Johnson-recaps-Texas-visit-142505363/,1/21/20,18,0,3
1219027727875002369,@allieclem17,The future’s looking bright #Hookem,1/19/20,180,2,14
1219626447045824513,@Matthew71693270,"The new 
@TexasMBB
 coaching search committee has already been selected.  #HookEm",1/21/20,2,0,0
1219642257428701188,"@fkeller76
","Good luck to 
@Britlyn_Keller
 & all you students this semester. #HookEm",1/21/20,1,0,0